ดัชนีราคาผู้บริโภคทั่วไป และดัชนีราคาผู้บริโภคพื้นฐาน จำแนกตามหมวดสินค้า พ.ศ. 2554 - 2563 ,,,,,,,,,,,
[2558 = 100],,,,,,,,,,,
,อาหารสด,88.0,89.8,95.3,98.9,100.0,102.1,100.5,99.5,104.4,107.5
,พลังงาน,105.2,112.1,116.8,118.3,100.0,93.2,98.2,104.2,100.7,88.7
,ดัชนีราคาผู้บริโภคพื้นฐาน,94.0,95.8,97.1,99.0,100.0,101.2,101.7,102.4,102.9,103.0
ภาคใต้,ดัชนีรวม,93.6,96.9,99.1,101.3,100.0,100.2,101.2,102.2,102.3,100.8
,หมวดอาหารและเครื่องดื่มไม่มีแอลกอฮอล์,86.4,91.4,94.4,98.7,100.0,101.5,102.2,102.0,103.2,103.3
,หมวดเครื่องนุ่งห่มและรองเท้า,95.8,97.6,98.8,99.6,100.0,100.4,100.8,101.4,101.6,101.6
,หมวดเคหสถาน,94.4,97.2,98.9,100.1,100.0,98.9,99.0,100.0,100.5,99.6
,หมวดการตรวจรักษาและบริการส่วนบุคคล,96.8,97.7,98.4,98.9,100.0,101.2,101.4,102.0,102.3,102.4
,หมวดพาหนะ การขนส่ง และการสื่อสาร,104.8,106.7,108.6,108.7,100.0,97.8,100.7,103.4,101.6,96.2
,หมวดการบันเทิงการอ่าน การศึกษา และการศาสนา,97.2,97.4,97.8,98.9,100.0,100.7,101.6,102.1,102.4,102.0
,หมวดยาสูบและเครื่องดื่มมีแอลกอฮอล์,86.9,89.2,93.4,97.4,100.0,114.3,118.2,123.9,123.9,123.9
,หมวดอื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,98.6,100.6,102.1,102.9,100.0,99.3,100.6,102.2,101.8,99.3
,กลุ่มอาหารสดและพลังงาน,93.2,99.5,104.3,107.0,100.0,99.1,100.9,103.1,103.3,97.3
,อาหารสด,86.4,92.0,96.4,99.8,100.0,102.8,102.4,101.8,104.7,104.0
,พลังงาน,104.3,111.8,117.3,118.9,100.0,92.8,98.0,103.8,100.5,88.2
,ดัชนีราคาผู้บริโภคพื้นฐาน,93.9,96.0,97.0,99.0,100.0,100.6,101.3,101.8,102.0,102.2
ที่มา: สำนักดัชนีเศรษฐกิจการค้า สำนักงานนโยบายและยุทธศาสตร์การค้า กระทรวงพาณิชย์ ,,,,,,,,,,,
